Provincia,Comunidad Autónoma,Numero Defunciones CP M(2018),Numero Defunciones CP H(2018),Arsénico(ng/m3),Radón,Fumadores H,No fumadores H,Fumadores M,No Fumadores M
Araba/Álava,País Vasco,32,116,0,1,,,,
Albacete,Castilla-La Mancha,25,129,0,0,,,,
Alicante/Alacant,Comunidad Valenciana,216,650,"0,4",0,,,,
Almería,Andalucía,52,260,0,2,,,,
Ávila,Castilla y León,18,74,"0,6",2,,,,
Badajoz,Extremadura,41,319,"0,4",2,,,,
"Balears, Illes","Balears, Illes",116,368,0,1,,,,
Barcelona,Cataluña,578,1986,1,2,,,,
Burgos,Castilla y León,38,126,0,2,,,,
Caceres,Extremadura,42,202,"0,3",2,,,,
Cadiz,Andalucía,102,442,0,2,,,,
Castellón/Castelló,Comunidad Valenciana,61,233,"0,6",0,,,,
Ciudad Real,Castilla-La Mancha,38,231,0,0,,,,
Córdoba,Andalucía,67,262,"0,3",2,,,,
"Coruña, A",Galicia,146,511,"1,8",2,,,,
Cuenca,Castilla-La Mancha,11,72,0,0,,,,
Girona,Cataluña,70,246,0,2,,,,
Granada,Andalucía,79,271,"0,3",2,,,,
Guadalajara,Castilla-La Mancha,21,69,0,0,,,,
Gipuzkoa,País Vasco,98,289,"0,5",1,,,,
Huelva,Andalucía,34,197,0,2,,,,
Huesca,Aragón,21,78,0,2,,,,
Jaén,Andalucía,41,228,0,2,,,,
León,Castilla y León,57,223,0,2,,,,
Lleida,Cataluña,36,156,0,2,,,,
La Rioja,"Rioja, La",41,121,"0,3",1,,,,
Lugo,Galicia,40,167,"1,8",2,,,,
Madrid,"Madrid, Comunidad de",706,1916,"0,9",2,,,,
Málaga,Andalucía,175,567,0,2,,,,
Murcia,"Murcia, Región de",89,476,0,1,,,,
Navarra,"Navarra, Comunidad Foral de",89,250,"0,2",2,,,,
Ourense,Galicia,41,142,0,2,,,,
Asturias,"Asturias, Principado de",195,575,0,2,,,,
Palencia,Castilla y León,13,69,0,2,,,,
"Palmas, Las",Canarias,146,346,0,2,,,,
Pontevedra,Galicia,124,387,0,2,,,,
Salamanca,Castilla y León,38,147,0,2,,,,
Santa Cruz de Tenerife,Canarias,137,320,0,2,,,,
Cantabria,Cantabria,105,262,0,1,,,,
Segovia,Castilla y León,21,54,0,2,,,,
Sevilla,Andalucía,146,719,"0,5",2,,,,
Soria,Castilla y León,7,41,0,2,,,,
Tarragona,Cataluña,59,314,0,2,,,,
Teruel,Aragón,7,49,0,2,,,,
Toledo,Castilla-La Mancha,48,303,"0,3",0,,,,
Valencia/València,Comunidad Valenciana,301,922,"0,7",0,,,,
Valladolid,Castilla y León,74,223,0,2,,,,
Bizkaia,País Vasco,163,497,"0,3",1,,,,
Zamora,Castilla y León,19,96,0,2,,,,
Zaragoza,Aragón,106,415,0,2,,,,
Ceuta,Ceuta,4,18,0,0,,,,
Melilla,Melilla,11,25,0,0,,,,
