"Año";"Periodo";"Parámetro";"Fumadores por cada 100.000 habitantes"
"2018";"Año";"Andalucía";"22.463,17"
"2018";"Año";"Aragón";"23.585,43"
"2018";"Año";"Asturias";"23.309,15"
"2018";"Año";"Baleares";"23.548,36"
"2018";"Año";"Canarias";"22.415,88"
"2018";"Año";"Cantabria";"22.516,6"
"2018";"Año";"Castilla y León";"22.117,03"
"2018";"Año";"Castilla-La Mancha";"24.176,45"
"2018";"Año";"Cataluña";"21.744,7"
"2018";"Año";"Ceuta";"23.953,01"
"2018";"Año";"Comunidad Valenciana";"24.479,72"
"2018";"Año";"Extremadura";"23.499,34"
"2018";"Año";"Galicia";"17.659,7"
"2018";"Año";"La Rioja";"19.505,51"
"2018";"Año";"Madrid";"18.604,61"
"2018";"Año";"Melilla";"18.590,75"
"2018";"Año";"Murcia";"23.143,96"
"2018";"Año";"Navarra";"19.884,94"
"2018";"Año";"País Vasco";"19.146,61"
